	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
148	41019920	8203984000	0	200	5215	340	42557	9606	5.81415842	41	100	100	0	41.01992	38634957	2384963	1	0.5	1	0.5	0.5	1	1	1	1	1	924
149	41847614	8369522800	41847614	200	5109	330	173699	9606	6.674249143	41	100	100	0	41.847614	39054600	2793014	1	1	1	0.5	0.5	1	1	1	1	1	948
150	42219445	8443889000	42219445	200	5142	330	173699	9606	6.644681872	41	100	100	0	42.219445	39414098	2805347	1	1	1	0.5	0.5	1	1	1	1	1	951
151	40813444	8162688800	0	200	5154	313	59833	9606	6.178234583	40	100	100	0	40.813444	38291894	2521550	1	0.5	1	0.5	0.5	1	1	1	1	1	934
152	41847614	8369522800	41847614	200	5109	330	173699	9606	6.674249143	41	100	100	0	41.847614	39054600	2793014	1	1	1	0.5	0.5	1	1	1	1	1	948
153	42219445	8443889000	42219445	200	5142	330	173699	9606	6.644681872	41	100	100	0	42.219445	39414098	2805347	1	1	1	0.5	0.5	1	1	1	1	1	951
154	40428434	8085686800	40428434	200	5117	355	59833	9606	6.599998292	40	100	100	0	40.428434	37760159	2668275	1	0.5	1	0.5	0.5	1	1	1	1	1	929
155	40756118	8151223600	0	200	5120	300	59833	9606	5.874089222	41	100	100	0	40.756118	38362068	2394050	1	0.5	1	0.5	0.5	1	1	1	1	1	952
156	39535511	7907102200	39535511	200	5019	342	59833	9606	6.642278457	41	100	100	0	39.535511	36909453	2626058	1	0.5	1	0.5	0.5	1	1	1	1	1	917
157	39504682	7900936400	39504682	200	4926	321	59833	9606	6.349137759	41	100	100	0	39.504682	36996476	2508206	1	0.5	1	0.5	0.5	1	1	1	1	1	949
158	39811540	7962308000	39811540	200	4971	321	59833	9606	6.464451026	41	100	100	0	39.81154	37237943	2573597	1	0.5	1	0.5	0.5	1	1	1	1	1	961
159	39504682	7900936400	39504682	200	4926	321	59833	9606	6.349137759	41	100	100	0	39.504682	36996476	2508206	1	0.5	1	0.5	0.5	1	1	1	1	1	949
160	39811540	7962308000	39811540	200	4971	321	59833	9606	6.464451026	41	100	100	0	39.81154	37237943	2573597	1	0.5	1	0.5	0.5	1	1	1	1	1	961
161	38895720	7779144000	38895720	200	4862	334	59833	9606	5.859547111	41	100	100	0	38.89572	36616607	2279113	1	0.5	1	0.5	0.5	1	1	1	1	1	926
162	37138177	7427635400	37138177	200	4595	335	33847	9606	6.135582782	42	100	100	0	37.138177	34859534	2278643	1	1	1	0.5	0.5	1	1	1	1	1	873
163	38286516	7657303200	38286516	200	4769	335	33847	9606	6.227672814	42	100	100	0	38.286516	35902158	2384358	1	0.5	1	0.5	0.5	1	1	1	1	1	911
164	38546407	7709281400	38546407	200	4732	319	173699	9606	6.273015616	41	100	100	0	38.546407	36128385	2418022	1	1	1	0.5	0.5	1	1	1	1	1	912
165	38484955	7696991000	38484955	200	4705	306	173699	9606	5.963271363	41	100	100	0	38.484955	36189993	2294962	1	1	1	0.5	0.5	1	1	1	1	1	935
166	36350568	6288648264	36350568	173	4069	300	59833	9606	5.369231046	41	73	73	0	36.350568	34398823	1951745	1	1	1	0.5	0.5	1	1	1	0.5	1	799
167	36024629	6232260817	36024629	173	4052	355	59833	9606	5.91598244	40	73	73	0	36.024629	33893419	2131210	1	1	1	0.5	1	1	1	1	0.5	1	812
168	34273413	6854682600	34273413	200	3718	394	38447	9606	1.746868289	41	100	100	9.090909091	34.273413	33674702	598711	0.5	0.25	1	1	0.5	0.5	1	1	1	1	845
169	37138177	7427635400	37138177	200	4595	335	33847	9606	6.135582782	42	100	100	0	37.138177	34859534	2278643	1	1	1	0.5	0.5	1	1	1	1	1	873
170	38286516	7657303200	38286516	200	4769	335	33847	9606	6.227672814	42	100	100	0	38.286516	35902158	2384358	1	0.5	1	0.5	0.5	1	1	1	1	1	911
171	36833995	7366799000	36833995	200	4477	326	41139	9606	6.141294359	41	100	100	0	36.833995	34571911	2262084	1	0.5	1	0.5	0.5	1	1	1	1	1	867
172	36648021	7329604200	36648021	200	4346	312	59833	9606	6.660068508	40	100	100	0	36.648021	34207238	2440783	1	0.5	1	0.5	0.5	1	1	1	1	1	921
173	27222944	5444588800	27222944	200	3315	388	42575	9606	1.499185554	41	100	100	18.18181818	27.222944	26814822	408122	0.25	0.25	1	1	0.5	1	1	1	1	1	748
174	31871180	6374236000	31871180	200	3188	402	42557	9606	1.42771979	41	100	100	9.090909091	31.87118	31416149	455031	1	0.25	1	1	0.5	1	1	1	1	1	814
175	25810307	5162061400	25810307	200	3262	387	42575	9606	1.429861028	41	100	100	18.18181818	25.810307	25441256	369051	0.25	0.25	1	1	0.5	1	1	1	1	1	722
176	31229690	6745613040	31229690	216	4200	450	41223	9606	7.053860158	42	108	108	9.090909091	31.22969	29026792	2202898	1	0.25	1	1	0.5	1	1	1	1	1	1006
177	31065270	6710098320	31065270	216	3903	450	41223	9606	6.291464674	40	108	108	18.18181818	31.06527	29110810	1954460	0.25	0.25	1	1	0.5	1	1	1	1	1	901
178	33153460	6630692000	33153460	200	3937	329	59833	9606	6.212235044	40	100	100	0	33.15346	31093890	2059570	1	0.5	1	0.5	0.5	1	1	1	1	1	817
179	26214805	5662397880	26214805	216	3887	450	38449	9606	7.154159099	41	108	108	0	26.214805	24339357	1875448	0.5	1	1	1	0.5	1	1	1	1	1	724
180	28153343	5630668600	28153343	200	2962	414	42557	9606	1.676855773	42	100	100	0	28.153343	27681253	472090	1	0.5	1	1	0.5	1	1	1	1	1	733
181	28722571	5744514200	28722571	200	2894	402	42557	9606	1.327643035	41	100	100	9.090909091	28.722571	28341238	381333	1	0.25	1	1	0.5	1	1	1	1	1	758
182	24982629	5396247864	24982629	216	3672	450	33835	9606	5.439231962	37	108	108	9.090909091	24.982629	23623766	1358863	0.5	0.25	1	1	1	1	1	1	1	1	690
183	24658839	4931767800	24658839	200	2822	435	41223	9606	1.677982931	43	100	100	9.090909091	24.658839	24245068	413771	0.5	0.25	1	1	0.5	1	1	1	1	1	743
184	27647911	5529582200	27647911	200	2798	402	42557	9606	1.631727297	41	100	100	9.090909091	27.647911	27196773	451138	1	0.25	1	1	0.5	1	1	1	0.5	1	730
185	28655954	5731190800	28655954	200	2805	425	42571	9606	1.608024121	42	100	100	9.090909091	28.655954	28195160	460794	1	1	1	1	0.25	1	1	1	1	1	760
